Time,Date,Treatment,Genotype,Fragment ,Picture,AOI,,
5:30pm,2019-08-20,New experiment,,1,1,1,,
5:30pm,2019-08-20,New experiment,,2,1,2,,
5:30pm,2019-08-20,New experiment,,3,1,3,,
5:30pm,2019-08-20,New experiment,,5,1,4,,
5:30pm,2019-08-20,New experiment,,6,1,5,,
5:30pm,2019-08-20,New experiment,,7,1,6,,
5:30pm,2019-08-20,New experiment,,8,1,7,,
5:30pm,2019-08-20,New experiment,,9,1,8,,
5:30pm,2019-08-20,New experiment,,10,2,1,,
5:30pm,2019-08-20,New experiment,,12,2,2,,
5:30pm,2019-08-20,New experiment,,13,2,3,,
5:30pm,2019-08-20,New experiment,,4,2,4,,
5:30pm,2019-08-20,New experiment,,15,2,5,,
5:30pm,2019-08-20,New experiment,,16,2,6,,
5:30pm,2019-08-20,New experiment,,17,2,7,,
5:30pm,2019-08-20,New experiment,,18,2,8,,
5:30pm,2019-08-20,New experiment,,19,3,1,,
5:30pm,2019-08-20,New experiment,,20,3,2,,
5:30pm,2019-08-20,New experiment,,21,3,3,,
5:30pm,2019-08-20,New experiment,,22,3,4,,
5:30pm,2019-08-20,New experiment,,23,3,5,,
5:30pm,2019-08-20,New experiment,,24,3,6,,
5:30pm,2019-08-20,New experiment,,25,3,7,,
5:30pm,2019-08-20,New experiment,,26,3,8,,
5:30pm,2019-08-20,New experiment,,27,4,1,,
5:30pm,2019-08-20,New experiment,,28,4,2,,
5:30pm,2019-08-20,New experiment,,29,4,3,,
5:30pm,2019-08-20,New experiment,,30,4,4,,
5:30pm,2019-08-20,New experiment,,31,4,5,,
5:30pm,2019-08-20,New experiment,,32,4,6,,
5:30pm,2019-08-20,New experiment,,33,4,7,,
5:30pm,2019-08-20,New experiment,,34,4,8,,
5:30pm,2019-08-20,New experiment,,35,5,1,,
5:30pm,2019-08-20,New experiment,,36,5,2,,
5:30pm,2019-08-20,New experiment,,37,5,3,,
5:30pm,2019-08-20,New experiment,,38,5,4,,
5:30pm,2019-08-20,New experiment,,39,5,5,,
5:30pm,2019-08-20,New experiment,,40,5,6,,
5:30pm,2019-08-20,New experiment,,41,5,7,,
5:30pm,2019-08-20,New experiment,,42,5,8,,
5:30pm,2019-08-20,New experiment,,43,6,1,,
5:30pm,2019-08-20,New experiment,,44,6,2,,
5:30pm,2019-08-20,New experiment,,45,6,3,,
5:30pm,2019-08-20,New experiment,,46,6,4,,
5:30pm,2019-08-20,New experiment,,47,6,5,,
5:30pm,2019-08-20,New experiment,,49,6,6,,
5:30pm,2019-08-20,New experiment,,50,6,7,,
5:30pm,2019-08-20,New experiment,,51,6,8,,
5:30pm,2019-08-20,New experiment,,52,7,1,,
5:30pm,2019-08-20,New experiment,,53,7,2,,
5:30pm,2019-08-20,New experiment,,54,7,3,,
5:30pm,2019-08-20,New experiment,,55,7,4,,
5:30pm,2019-08-20,New experiment,,56,7,5,,
5:30pm,2019-08-20,New experiment,,57,7,6,,
5:30pm,2019-08-20,New experiment,,59,7,7,,
5:30pm,2019-08-20,New experiment,,61,7,8,,
5:30pm,2019-08-20,New experiment,,62,8,1,,
5:30pm,2019-08-20,New experiment,,63,8,2,,
5:30pm,2019-08-20,New experiment,,64,8,3,,
5:30pm,2019-08-20,New experiment,,65,8,4,,
5:30pm,2019-08-20,New experiment,,66,8,5,,
5:30pm,2019-08-20,New experiment,,67,8,6,,
5:30pm,2019-08-20,New experiment,,68,8,7,,
5:30pm,2019-08-20,New experiment,,69,8,8,,
5:30pm,2019-08-20,New experiment,,70,9,1,,
5:30pm,2019-08-20,New experiment,,71,9,2,,
5:30pm,2019-08-20,New experiment,,72,9,3,,
5:30pm,2019-08-20,New experiment,,73,9,4,,
5:30pm,2019-08-20,New experiment,,74,9,5,,
5:30pm,2019-08-20,New experiment,,75,9,6,,
5:30pm,2019-08-20,New experiment,,76,9,7,,
5:30pm,2019-08-20,New experiment,,77,9,8,,
5:30pm,2019-08-20,New experiment,,78,10,1,,
5:30pm,2019-08-20,New experiment,,79,10,2,,
5:30pm,2019-08-20,New experiment,,80,10,3,,
5:30pm,2019-08-20,New experiment,,81,10,4,,
5:30pm,2019-08-20,New experiment,,83,10,5,,
5:30pm,2019-08-20,New experiment,,84,10,6,,
5:30pm,2019-08-20,New experiment,,85,10,7,,
5:30pm,2019-08-20,New experiment,,86,10,8,,
5:30pm,2019-08-20,New experiment,,87,11,1,,
5:30pm,2019-08-20,New experiment,,88,11,2,,
5:30pm,2019-08-20,New experiment,,89,11,3,,
5:30pm,2019-08-20,New experiment,,90,11,4,,
5:30pm,2019-08-20,New experiment,,91,11,5,,
5:30pm,2019-08-20,New experiment,,92,11,6,,
5:30pm,2019-08-20,New experiment,,93,11,7,,
5:30pm,2019-08-20,New experiment,,94,11,8,,
5:30pm,2019-08-20,New experiment,,95,12,1,,
5:30pm,2019-08-20,New experiment,,96,12,2,,
5:30pm,2019-08-20,New experiment,,97,12,3,,
5:30pm,2019-08-20,New experiment,,98,12,4,,
5:30pm,2019-08-20,New experiment,,99,12,5,,
5:30pm,2019-08-20,New experiment,,100,12,6,,
5:30pm,2019-08-20,New experiment,,101,12,7,,
